model,window,total_assets,significant_better,significant_worse,pct_significant_better,pct_significant_worse
arima,2008_financial_crisis,18,1,4,5.6,22.2
arima,covid_crash,20,0,7,0.0,35.0
arima,normal,20,8,0,40.0,0.0
linear_regression,2008_financial_crisis,18,5,0,27.8,0.0
linear_regression,covid_crash,20,0,0,0.0,0.0
linear_regression,normal,20,6,1,30.0,5.0
random_forest,2008_financial_crisis,18,3,4,16.7,22.2
random_forest,covid_crash,20,1,10,5.0,50.0
random_forest,normal,20,10,3,50.0,15.0
xgboost,2008_financial_crisis,18,3,1,16.7,5.6
xgboost,covid_crash,20,1,9,5.0,45.0
xgboost,normal,20,3,1,15.0,5.0
